label,tolkien,twilight,heinlein
ML-DSA-44 keygen,19073,10482.2,5865.1
ML-DSA-44 sign,7142.86,3216.47,2123.14
ML-DSA-44 verify,64433,29019.2,18221.6
ML-DSA-65 keygen,10334.8,5861.66,3436.43
ML-DSA-65 sign,4189.36,1853.57,1265.02
ML-DSA-65 verify,45620.4,20517,12740.5
ML-DSA-87 keygen,7396.45,4029.01,2428.36
ML-DSA-87 sign,6605.02,2925.69,1970.44
ML-DSA-87 verify,29700,13473.5,8741.26
