label,tolkien,twilight,heinlein
RSA-2048 sign,894.454,598.086,453.721
RSA-2048 verify,28587.8,20296.3,14407.1
RSA-1024 keygen,25.413,21.4087,16.0026
ECDSA sign,1393.15,1059.43,953.289
ECDSA verify,717.875,544.07,492.126
ECDH agree,1459.21,1110,1002.41
Ed25519 sign,2503.76,1910.95,1671.12
Ed25519 verify,753.012,569.476,530.504
X25519 agree,29086.7,15422.6,10809.6
X448 agree,4206.98,2754.82,1828.82
DSA-1024 sign,5824.11,4083.3,3107.52
DSA-1024 verify,3359.09,2281.54,1714.97
