label,wigner,moore,darby
NTRU-HPS-509 keygen,998.004,782.473,435.54
NTRU-HPS-509 encaps,12094.8,9354.54,5783.69
NTRU-HPS-509 decaps,6872.85,6410.26,3505.08
NTRU-HPS-677 encaps,11485,7501.88,4810
NTRU-HPS-821 encaps,5675.37,5162.62,3262.64
NTRU-HRSS-701 keygen,781.25,525.21,280.112
NTRU-HRSS-701 encaps,20639.8,14490.7,8510.64
NTRU-HRSS-701 decaps,8103.73,5913.66,3207.18
