label,wigner,moore,darby
AES-128,356.4,235.7,139.8
AES-256,250.6,177.1,138.8
Camellia-128,97.47,86.53,67.81
CAST-128,159.3,105.2,82.47
DES,57.25,55.1,30.34
Grasshopper,21.29,12.72,8.468
Magma,37.02,41.59,35.3
PRESENT-80,8.504,2.715,2.591
SEED,47.61,46.36,37.62
Serpent-128,8.632,4.743,3.494
SM4,151.1,127,92.68
Twofish-128,9.738,8.534,3.008
ChaCha20,537.6,416.5,229.3
Salsa20,544.3,414.9,387.5
Rabbit,998.2,498.1,343.6
SNOW 3G,336.8,277.2,224.7
ZUC-128,366.2,262.8,229.1
