label,wigner,moore,darby
RSA-2048 sign,556.174,392.773,188.395
RSA-2048 verify,7627.77,5382.13,3196.93
RSA-1024 keygen,56.2114,44.4642,24.3724
ECDSA sign,461.681,369.822,254.001
ECDSA verify,248.324,200.924,136.799
ECDH agree,485.673,398.248,268.312
Ed25519 sign,907.441,791.139,522.466
Ed25519 verify,300.3,242.365,160.102
X25519 agree,29274,15740.6,4646.84
X448 agree,4233.7,2755.58,922.509
DSA-1024 sign,2784.74,1857.36,1079.68
DSA-1024 verify,1898.97,1267.59,671.141
