label,wigner,moore,darby
MD5,265.5,407.6,171.7
SHA-1,212.6,276,127.9
RIPEMD-160,276.1,135.1,69.97
SHA-256,183.4,213.4,115.7
SHA-512,295.7,330.8,183.2
SHA3-256,334.7,299.9,94.73
SHA3-512,180.7,164.3,50.33
SHAKE128,413,370.7,116.2
SHAKE256,336.3,302.2,94.53
