label,tolkien,dennard,heinlein
RSA-2048 sign,643.087,469.484,256.279
RSA-2048 verify,7518.8,5488.47,3125
RSA-1024 keygen,64.8929,50.2513,29.5159
ECDSA sign,1061.8,834.725,600.24
ECDSA verify,582.751,470.81,336.7
ECDH agree,1222.2,1004.42,712.251
Ed25519 sign,2396.36,2002.4,1402.72
Ed25519 verify,728.332,606.428,433.088
X25519 agree,28785.3,15441.6,10436.2
X448 agree,3965.11,2759.38,1643.12
DSA-1024 sign,3006.61,2037.07,1304.8
DSA-1024 verify,2023.88,1405.48,840.336
