label,tolkien,dennard,heinlein
AES-128,331.4,208.1,90.35
AES-256,243.1,162.9,76.15
Camellia-128,95.48,82.63,38.42
CAST-128,149.1,98.86,46.64
DES,56.99,53.45,23.31
Grasshopper,21.16,12.53,5.696
Magma,36.82,40.31,20.39
PRESENT-80,8.454,2.711,1.928
SEED,47.23,44.86,20.55
Serpent-128,7.986,4.699,2.433
SM4,149.3,120.9,50.35
Twofish-128,9.679,8.577,2.571
ChaCha20,462,409.2,195.7
Salsa20,521.5,396.4,242.2
Rabbit,853.3,454.4,225.4
SNOW 3G,271.5,254.1,117.8
ZUC-128,363,254.3,107.2
