label,tolkien,dennard,heinlein
MD5,206.5,360.7,115.2
SHA-1,182,275.1,152.6
RIPEMD-160,212.2,161.9,95.99
SHA-256,193.7,206.1,97.1
SHA-512,293.2,318.6,153.4
SHA3-256,226.7,286.8,179.5
SHA3-512,134.5,156.9,95.47
SHAKE128,262.4,351.5,209.8
SHAKE256,234.4,286.6,186.6
