label,i5-8259U,Apple M1,Cortex-X925,Cortex-A76
MD5,549.5,649.8,774.5,460.8
SHA-1,245.2,219.5,426.7,170.7
RIPEMD-160,125.5,287.3,415.1,98.97
SHA-256,186.8,200.5,344.3,164.7
SHA-512,283.8,311.5,508.8,185.9
SHA3-256,150.1,456.5,663.9,81.66
SHA3-512,90.55,242.5,353.9,54.97
SHAKE128,208.8,565.6,808.7,127
SHAKE256,168.8,455.9,675.3,103.2
