label,EPYC 7452,i5-8259U,Cortex-A76
MD5,524,501.3,461.9
SHA-1,261.1,139.4,170.4
RIPEMD-160,168.9,66.67,99.44
SHA-256,212.4,208.7,165.1
SHA-512,333.8,280.9,186.1
SHA3-256,275.3,148.9,77.31
SHA3-512,147,79.96,55.05
SHAKE128,338.3,184.3,126.8
SHAKE256,276.1,136.1,103.2
