label,EPYC 7452,i5-8259U,Cortex-A76
AES-128,259.1,215,187
AES-256,190.9,161.8,138.5
Camellia-128,91.76,84.37,72.12
CAST-128,106.7,112.9,87.19
DES,57.1,59.76,40.62
Grasshopper,100.3,102.9,86
Magma,43.57,47.13,29.37
PRESENT-80,2.812,2.635,2.702
SEED,48.73,50.15,39.64
Serpent-128,24.56,24.58,15.11
SM4,139.4,120.3,98.9
Twofish-128,198.9,199.7,154.9
ChaCha20,474.1,245.7,300.1
Salsa20,477.3,244,420.4
Rabbit,549.5,281,359.9
SNOW 3G,298.8,170.7,252.5
ZUC-128,344.2,337.7,271.1
