label,EPYC 7452,i5-8259U,Cortex-A76
ML-DSA-44 keygen,9337.07,6680.03,4631.77
ML-DSA-44 sign,2304.68,2137.67,1360.36
ML-DSA-44 verify,21281.1,18504.8,13137.2
ML-DSA-65 keygen,5184.03,3858.02,2609.6
ML-DSA-65 sign,1455.18,1348.25,879.507
ML-DSA-65 verify,14865.5,13218.8,9460.74
ML-DSA-87 keygen,3449.47,2473.41,1638
ML-DSA-87 sign,1436.16,1284.69,829.876
ML-DSA-87 verify,10370.2,9049.77,6459.95
