label,EPYC 7452,i5-8259U,Cortex-A76
RSA-2048 sign,559.91,599.52,280.741
RSA-2048 verify,20165.4,19364.8,9276.44
RSA-1024 keygen,25.5232,24.4499,12.8172
ECDSA sign,902.527,1001.6,680.735
ECDSA verify,449.843,498.753,338.409
ECDH agree,919.118,1026.48,683.995
Ed25519 sign,23623.9,25960.5,8818.34
Ed25519 verify,699.79,875.657,501.505
X25519 agree,14819.2,14747.1,3641.66
X448 agree,2783.19,2364.63,931.966
DSA-1024 sign,6635.7,6734.01,3330
DSA-1024 verify,3573.98,3723.01,1753.16
